~~ Start logging ~~
2025-03-01 12:46:32.759 FUN There are nothing.
2025-03-01 12:47:45.360 INFO     Commit message: Modify: ByteDance.JianyingPro version 2.2.0.4707 (Auto)
2025-03-01 12:47:45.360 INFO   Pushing changes to remote (origin) repository
2025-03-01 12:47:48.714 INFO     Successfully FORCE pushed to remote (origin): Modify-ByteDance.JianyingPro-2.2.0.4707
2025-03-01 12:47:48.714 INFO Processing version folder: 2.3.0.5110
2025-03-01 12:47:48.714 INFO   Create and checkout to a new branch: Modify-ByteDance.JianyingPro-2.3.0.5110
2025-03-01 12:47:55.568 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:47:55.568 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:55.568 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:55.568 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:47:55.584 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:47:55.584 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:55.584 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:55.584 INFO     Replace defaultLocale -> locale
2025-03-01 12:47:55.584 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:47:55.584 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:47:55.584 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:55.584 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:55.584 INFO     Replace ManifestType: locale -> defaultLocale
2025-03-01 12:47:55.584 INFO     Replace winget-manifest.locale -> winget-manifest.defaultLocale
2025-03-01 12:47:55.584 INFO     Replace # Moniker: -> Moniker: 剪映
2025-03-01 12:47:55.584 INFO     Replace Shenzhen Lianmeng Technology Co., Ltd. -> 深圳市脸萌科技有限公司
2025-03-01 12:47:55.584 INFO     Replace Shenzhen Lianmeng Technology -> 深圳市脸萌科技有限公司
2025-03-01 12:47:55.584 WHY     The company name comes from the bottom of the PackageUrl and its filing information (screenshot: https://github.com/user-attachments/assets/37a0f060-eee9-45df-a555-6b4783aed53d).
2025-03-01 12:47:55.584 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:47:55.599 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.yaml
2025-03-01 12:47:55.599 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:47:55.599 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:47:55.599 INFO     Replace DefaultLocale: en-US -> zh-CN
2025-03-01 12:47:55.599 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.yaml
2025-03-01 12:47:55.599 INFO   Create a new locale manifest file: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:47:55.599 INFO     New locale manifest file created: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.3.0.5110\ByteDance.JianyingPro.locale.zh-TW.yaml
2025-03-01 12:47:55.804 INFO     清单验证成功。
2025-03-01 12:47:55.813 INFO   Staging and Committing Changes to Git
2025-03-01 12:47:59.982 INFO     Commit message: Modify: ByteDance.JianyingPro version 2.3.0.5110 (Auto)
2025-03-01 12:47:59.982 INFO   Pushing changes to remote (origin) repository
2025-03-01 12:48:03.470 INFO     Successfully FORCE pushed to remote (origin): Modify-ByteDance.JianyingPro-2.3.0.5110
2025-03-01 12:48:03.470 INFO Processing version folder: 2.4.5.6176
2025-03-01 12:48:03.470 INFO   Create and checkout to a new branch: Modify-ByteDance.JianyingPro-2.4.5.6176
2025-03-01 12:48:09.739 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.4.5.6176\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:48:09.739 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:48:09.739 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:48:09.739 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.4.5.6176\ByteDance.JianyingPro.installer.yaml
2025-03-01 12:48:09.739 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.4.5.6176\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:48:09.754 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:48:09.754 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
2025-03-01 12:48:09.754 INFO     Replace defaultLocale -> locale
2025-03-01 12:48:09.754 INFO     The modified file has been saved as: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.4.5.6176\ByteDance.JianyingPro.locale.en-US.yaml
2025-03-01 12:48:09.770 INFO   Processing of manifest: D:\...\winget-pkgs\manifests\b\ByteDance\JianyingPro\2.4.5.6176\ByteDance.JianyingPro.locale.zh-CN.yaml
2025-03-01 12:48:09.770 INFO     Replace ManifestVersion: 1.2.0 -> 1.9.0
2025-03-01 12:48:09.770 INFO     Replace schema references: 1.2.0.schema.json -> 1.9.0.schema.json
